"","year","day","Pickup Community Area","V1","V2","V3"
"1",2013,"Friday","Central",1325.6,92280,196
"2",2013,"Friday","FarNorth",201.85,12120,18
"3",2013,"Friday","FarSouthwest",10.85,180,1
"4",2013,"Friday","North",357.425,23520,50
"5",2013,"Friday","Northwest",12.1,420,2
"6",2013,"Friday","South",14.3,720,2
"7",2013,"Friday","Southeast",11.525,420,1
"8",2013,"Friday","Southwest",19.85,480,2
"9",2013,"Friday","West",150.025,8760,22
"10",2013,"Monday","Central",1020.8,67380,150
"11",2013,"Monday","FarNorth",197.7,10920,15
"12",2013,"Monday","FarSouthwest",9.375,180,1
"13",2013,"Monday","North",156.65,9480,23
"14",2013,"Monday","Northwest",12.275,360,2
"15",2013,"Monday","South",13.65,660,2
"16",2013,"Monday","Southeast",11.5,360,1
"17",2013,"Monday","Southwest",21.55,660,2
"18",2013,"Monday","West",86.05,4740,13
"19",2013,"Saturday","Central",1126.44,76200,167
"20",2013,"Saturday","FarNorth",177.725,10140,18
"21",2013,"Saturday","FarSouthwest",7.95,180,1
"22",2013,"Saturday","North",600.425,40500,83
"23",2013,"Saturday","Northwest",13,540,2
"24",2013,"Saturday","South",15.15,720,2
"25",2013,"Saturday","Southeast",7.25,300,1
"26",2013,"Saturday","Southwest",14.65,600,1
"27",2013,"Saturday","West",151.75,8580,22
"28",2013,"Sunday","Central",780.625,49380,117
"29",2013,"Sunday","FarNorth",193.4,10740,17
"30",2013,"Sunday","FarSouthwest",7.65,240,1
"31",2013,"Sunday","North",420.95,26880,60.5
"32",2013,"Sunday","Northwest",13.675,600,2
"33",2013,"Sunday","South",12.95,600,2
"34",2013,"Sunday","Southeast",8.9,360,1
"35",2013,"Sunday","Southwest",15.75,600,1
"36",2013,"Sunday","West",115.7,6360,17
"37",2013,"Thursday","Central",1255.5,85680,186
"38",2013,"Thursday","FarNorth",190.45,11280,16
"39",2013,"Thursday","FarSouthwest",11.175,480,1
"40",2013,"Thursday","North",204.3,12600,29
"41",2013,"Thursday","Northwest",11.55,360,2
"42",2013,"Thursday","South",13.9,660,2
"43",2013,"Thursday","Southeast",9.85,360,1
"44",2013,"Thursday","Southwest",19.8,480,2
"45",2013,"Thursday","West",108.025,6060,16
"46",2013,"Tuesday","Central",1164.05,78450,174
"47",2013,"Tuesday","FarNorth",172.075,9720,15
"48",2013,"Tuesday","FarSouthwest",8.65,210,1
"49",2013,"Tuesday","North",168.85,10680,25
"50",2013,"Tuesday","Northwest",11.75,360,2
"51",2013,"Tuesday","South",13.7,660,2
"52",2013,"Tuesday","Southeast",13.025,390,1
"53",2013,"Tuesday","Southwest",19.05,480,2
"54",2013,"Tuesday","West",96.4,5340,14
"55",2013,"Wednesday","Central",1186.925,81300,179
"56",2013,"Wednesday","FarNorth",170.465,9660,14
"57",2013,"Wednesday","FarSouthwest",8.55,120,1
"58",2013,"Wednesday","North",164.35,10080,24
"59",2013,"Wednesday","Northwest",11.5,360,2
"60",2013,"Wednesday","South",13.5,660,2
"61",2013,"Wednesday","Southeast",14.25,540,1
"62",2013,"Wednesday","Southwest",19.475,480,2
"63",2013,"Wednesday","West",95.35,5400,14
