"","year","day","Side","V1","V2","V3"
"1",2015,"Friday","Central",2078.27,152340,305
"2",2015,"Friday","FarNorth",276.35,17820,23
"3",2015,"Friday","FarSouthwest",6.5,120,1
"4",2015,"Friday","North",312.1,21120,44
"5",2015,"Friday","Northwest",11,480,2
"6",2015,"Friday","South",13.625,660,2
"7",2015,"Friday","Southeast",8.6,300,1
"8",2015,"Friday","Southwest",14.95,360,2
"9",2015,"Friday","West",180.5,11220,26
"10",2015,"Monday","Central",1589.7,110220,232
"11",2015,"Monday","FarNorth",251.3,15240,20
"12",2015,"Monday","FarSouthwest",9.165,120,1
"13",2015,"Monday","North",146.75,9000,21
"14",2015,"Monday","Northwest",9.85,420,2
"15",2015,"Monday","South",12.7,600,2
"16",2015,"Monday","Southeast",9.05,360,1
"17",2015,"Monday","Southwest",15.1,480,2
"18",2015,"Monday","West",110.525,6480,16
"19",2015,"Saturday","Central",1775.675,126060,257
"20",2015,"Saturday","FarNorth",230.9,13980,22
"21",2015,"Saturday","FarSouthwest",9.75,240,1
"22",2015,"Saturday","North",571.55,39900,80
"23",2015,"Saturday","Northwest",11.5,600,2
"24",2015,"Saturday","South",13.47,660,2
"25",2015,"Saturday","Southeast",8.7,360,1
"26",2015,"Saturday","Southwest",12.05,540,1
"27",2015,"Saturday","West",169.75,9900,25
"28",2015,"Sunday","Central",1245.51,81900,183
"29",2015,"Sunday","FarNorth",253,15060,22
"30",2015,"Sunday","FarSouthwest",6.7,180,1
"31",2015,"Sunday","North",420.43,27360,61
"32",2015,"Sunday","Northwest",11.5,540,2
"33",2015,"Sunday","South",12.85,540,2
"34",2015,"Sunday","Southeast",8.85,360,1
"35",2015,"Sunday","Southwest",12.5,480,2
"36",2015,"Sunday","West",129.55,7140,19
"37",2015,"Thursday","Central",1993.915,145110,290.5
"38",2015,"Thursday","FarNorth",255.465,16320,21
"39",2015,"Thursday","FarSouthwest",5.82,90,1
"40",2015,"Thursday","North",204.65,13020,30
"41",2015,"Thursday","Northwest",10.7,420,2
"42",2015,"Thursday","South",13.3,660,2
"43",2015,"Thursday","Southeast",7.85,180,1
"44",2015,"Thursday","Southwest",15,360,2
"45",2015,"Thursday","West",147.63,9030,22
"46",2015,"Tuesday","Central",1805.375,127620,266
"47",2015,"Tuesday","FarNorth",223.89,13500,19
"48",2015,"Tuesday","FarSouthwest",6.5,180,1
"49",2015,"Tuesday","North",148.315,9300,22
"50",2015,"Tuesday","Northwest",9.75,360,2
"51",2015,"Tuesday","South",13,600,2
"52",2015,"Tuesday","Southeast",8.45,180,1
"53",2015,"Tuesday","Southwest",14.1,360,2
"54",2015,"Tuesday","West",119.35,7080,17.5
"55",2015,"Wednesday","Central",1883.035,135060,274
"56",2015,"Wednesday","FarNorth",230.74,14220,19
"57",2015,"Wednesday","FarSouthwest",6.5,60,1
"58",2015,"Wednesday","North",158.15,10080,23
"59",2015,"Wednesday","Northwest",10.35,420,2
"60",2015,"Wednesday","South",12.5,600,2
"61",2015,"Wednesday","Southeast",9.5,300,1
"62",2015,"Wednesday","Southwest",15,360,3
"63",2015,"Wednesday","West",126.07,7500,19
