"","year","hour","Pickup Community Area","V1","V2","V3"
"1",2013,"1 AM","Central",191.4,11220,31
"2",2013,"1 AM","FarNorth",50.525,2700,6
"3",2013,"1 AM","FarSouthwest",8.05,240,1
"4",2013,"1 AM","North",187.95,11400,27
"5",2013,"1 AM","Northwest",8.25,360,1
"6",2013,"1 AM","South",7.85,330,1
"7",2013,"1 AM","Southeast",10.575,390,1
"8",2013,"1 AM","Southwest",9.15,420,1
"9",2013,"1 AM","West",51.7,2700,8
"10",2013,"1 PM","Central",488.55,33600,73
"11",2013,"1 PM","FarNorth",59.25,3300,5
"12",2013,"1 PM","FarSouthwest",8.15,240,1
"13",2013,"1 PM","North",59.82,4020,8
"14",2013,"1 PM","Northwest",6.5,60,1
"15",2013,"1 PM","South",10.25,540,1
"16",2013,"1 PM","Southeast",7.175,360,1
"17",2013,"1 PM","Southwest",10.1,120,2
"18",2013,"1 PM","West",32.375,1800,5
"19",2013,"10 AM","Central",388.05,26340,56
"20",2013,"10 AM","FarNorth",51.65,2700,5
"21",2013,"10 AM","FarSouthwest",11.975,600,1
"22",2013,"10 AM","North",44,2640,6
"23",2013,"10 AM","Northwest",7.475,120,1
"24",2013,"10 AM","South",10.95,540,1
"25",2013,"10 AM","Southeast",17.2,810,1
"26",2013,"10 AM","Southwest",11.5,60,2
"27",2013,"10 AM","West",31.925,1740,5
"28",2013,"10 PM","Central",368.73,22980,57
"29",2013,"10 PM","FarNorth",77.7,4380,8
"30",2013,"10 PM","FarSouthwest",4.05,60,1
"31",2013,"10 PM","North",188.4,12000,27
"32",2013,"10 PM","Northwest",7.65,300,1
"33",2013,"10 PM","South",9.5,480,1
"34",2013,"10 PM","Southeast",6.5,270,1
"35",2013,"10 PM","Southwest",10.275,480,1
"36",2013,"10 PM","West",55.5,3000,8
"37",2013,"11 AM","Central",396.75,25860,58
"38",2013,"11 AM","FarNorth",56.65,2940,5
"39",2013,"11 AM","FarSouthwest",12.65,600,1
"40",2013,"11 AM","North",52.2,3180,7
"41",2013,"11 AM","Northwest",7.45,120,1
"42",2013,"11 AM","South",11.1,600,1
"43",2013,"11 AM","Southeast",10.45,480,1
"44",2013,"11 AM","Southwest",10.35,60,2
"45",2013,"11 AM","West",29.7,1560,4
"46",2013,"11 PM","Central",311.24,19500,49
"47",2013,"11 PM","FarNorth",67.9,3720,7
"48",2013,"11 PM","FarSouthwest",15.15,60,1
"49",2013,"11 PM","North",204.35,12840,29
"50",2013,"11 PM","Northwest",8.05,300,1
"51",2013,"11 PM","South",8.65,420,1
"52",2013,"11 PM","Southeast",7.95,240,1
"53",2013,"11 PM","Southwest",9.05,420,1
"54",2013,"11 PM","West",58.3,3120,9
"55",2013,"12 AM","Central",244.25,14880,38
"56",2013,"12 AM","FarNorth",61.3,3360,7
"57",2013,"12 AM","FarSouthwest",6.5,120,1
"58",2013,"12 AM","North",198.4,12420,29
"59",2013,"12 AM","Northwest",8.65,360,1
"60",2013,"12 AM","South",9.45,420,1
"61",2013,"12 AM","Southeast",7.1,300,1
"62",2013,"12 AM","Southwest",9.25,480,1
"63",2013,"12 AM","West",57.095,3000,8
"64",2013,"12 PM","Central",461.7,31590,68
"65",2013,"12 PM","FarNorth",58,3120,5
"66",2013,"12 PM","FarSouthwest",8.85,480,1
"67",2013,"12 PM","North",57.95,3840,8
"68",2013,"12 PM","Northwest",7.05,60,1
"69",2013,"12 PM","South",11.05,600,1
"70",2013,"12 PM","Southeast",12.45,600,1
"71",2013,"12 PM","Southwest",9.75,60,2
"72",2013,"12 PM","West",31.15,1680,5
"73",2013,"2 AM","Central",142.85,8220,23
"74",2013,"2 AM","FarNorth",39.7,2100,5
"75",2013,"2 AM","FarSouthwest",6.05,60,1
"76",2013,"2 AM","North",166.6,9840,25
"77",2013,"2 AM","Northwest",9.05,420,1
"78",2013,"2 AM","South",8.25,360,1
"79",2013,"2 AM","Southeast",7.65,360,1
"80",2013,"2 AM","Southwest",9.875,420,1
"81",2013,"2 AM","West",45.8,2340,7
"82",2013,"2 PM","Central",474.125,32430,70
"83",2013,"2 PM","FarNorth",66.15,3900,6
"84",2013,"2 PM","FarSouthwest",6.95,150,1
"85",2013,"2 PM","North",63.15,4260,9
"86",2013,"2 PM","Northwest",7.475,120,1
"87",2013,"2 PM","South",10.85,540,1
"88",2013,"2 PM","Southeast",12.125,510,1
"89",2013,"2 PM","Southwest",10.65,120,2
"90",2013,"2 PM","West",30.35,1740,4
"91",2013,"3 AM","Central",99.335,5700,16
"92",2013,"3 AM","FarNorth",33.37,1680,4
"93",2013,"3 AM","FarSouthwest",5.85,180,1
"94",2013,"3 AM","North",121.15,7140,18
"95",2013,"3 AM","Northwest",9.45,420,1
"96",2013,"3 AM","South",8.675,360,1
"97",2013,"3 AM","Southeast",9.05,480,1
"98",2013,"3 AM","Southwest",10.05,420,1
"99",2013,"3 AM","West",35.5,1860,5
"100",2013,"3 PM","Central",478.52,32610,70
"101",2013,"3 PM","FarNorth",71.7,4440,6
"102",2013,"3 PM","FarSouthwest",11.5,660,1
"103",2013,"3 PM","North",67.145,4620,9
"104",2013,"3 PM","Northwest",7.05,120,1
"105",2013,"3 PM","South",10.05,540,1
"106",2013,"3 PM","Southeast",15.85,720,1
"107",2013,"3 PM","Southwest",11.05,180,2
"108",2013,"3 PM","West",31.5,1800,5
"109",2013,"4 AM","Central",59.7,3240,10
"110",2013,"4 AM","FarNorth",35.5,1620,3
"111",2013,"4 AM","FarSouthwest",8.57,120,1
"112",2013,"4 AM","North",62.15,3480,9
"113",2013,"4 AM","Northwest",8.45,300,1
"114",2013,"4 AM","South",7.35,300,1
"115",2013,"4 AM","Southeast",11.7,300,1
"116",2013,"4 AM","Southwest",25,420,1
"117",2013,"4 AM","West",26.37,1320,4
"118",2013,"4 PM","Central",470.575,32700,69
"119",2013,"4 PM","FarNorth",76.5,4980,6
"120",2013,"4 PM","FarSouthwest",4.05,60,1
"121",2013,"4 PM","North",75.75,5160,11
"122",2013,"4 PM","Northwest",7.1,120,1
"123",2013,"4 PM","South",10.05,540,1
"124",2013,"4 PM","Southeast",13.85,750,1
"125",2013,"4 PM","Southwest",11.05,300,1
"126",2013,"4 PM","West",35.9,2100,5
"127",2013,"5 AM","Central",38.65,2040,6
"128",2013,"5 AM","FarNorth",46.25,1980,3
"129",2013,"5 AM","FarSouthwest",6.6,60,1
"130",2013,"5 AM","North",33.75,1740,5
"131",2013,"5 AM","Northwest",8.45,240,1
"132",2013,"5 AM","South",8.5,360,1
"133",2013,"5 AM","Southeast",5.65,120,1
"134",2013,"5 AM","Southwest",32.25,1080,1
"135",2013,"5 AM","West",18.425,840,3
"136",2013,"5 PM","Central",501.45,35640,72
"137",2013,"5 PM","FarNorth",80.875,5340,7
"138",2013,"5 PM","FarSouthwest",13,60,1
"139",2013,"5 PM","North",86.65,6060,12
"140",2013,"5 PM","Northwest",8.3,180,1
"141",2013,"5 PM","South",9.85,540,1
"142",2013,"5 PM","Southeast",9.25,300,1
"143",2013,"5 PM","Southwest",11.9,480,1
"144",2013,"5 PM","West",43.725,2760,6
"145",2013,"6 AM","Central",40.9,2160,6
"146",2013,"6 AM","FarNorth",52.7,2340,3
"147",2013,"6 AM","FarSouthwest",6.6,90,1
"148",2013,"6 AM","North",23.05,1140,3
"149",2013,"6 AM","Northwest",7.9,180,1
"150",2013,"6 AM","South",8.05,360,1
"151",2013,"6 AM","Southeast",6.7,180,1
"152",2013,"6 AM","Southwest",29.25,1020,1
"153",2013,"6 AM","West",15.79,720,2
"154",2013,"6 PM","Central",594.65,44700,85
"155",2013,"6 PM","FarNorth",79.525,5460,7
"156",2013,"6 PM","FarSouthwest",7.575,60,1
"157",2013,"6 PM","North",122,8580,17
"158",2013,"6 PM","Northwest",9.75,300,1
"159",2013,"6 PM","South",10.3,540,1
"160",2013,"6 PM","Southeast",8.85,300,1
"161",2013,"6 PM","Southwest",10.675,420,1
"162",2013,"6 PM","West",63.255,4080,9
"163",2013,"7 AM","Central",104.5,5940,16
"164",2013,"7 AM","FarNorth",56.15,2940,4
"165",2013,"7 AM","FarSouthwest",5.325,30,1
"166",2013,"7 AM","North",27.4,1500,4
"167",2013,"7 AM","Northwest",8.3,60,2
"168",2013,"7 AM","South",9.175,420,1
"169",2013,"7 AM","Southeast",7.85,180,1
"170",2013,"7 AM","Southwest",25.85,720,1
"171",2013,"7 AM","West",20.6,1020,3
"172",2013,"7 PM","Central",654.175,46200,98
"173",2013,"7 PM","FarNorth",84.45,5400,7
"174",2013,"7 PM","FarSouthwest",13.875,120,1
"175",2013,"7 PM","North",178.25,12510,25
"176",2013,"7 PM","Northwest",7.9,300,1
"177",2013,"7 PM","South",9.875,480,1
"178",2013,"7 PM","Southeast",9.65,120,1
"179",2013,"7 PM","Southwest",10.55,360,1
"180",2013,"7 PM","West",73.15,4380,11
"181",2013,"8 AM","Central",232.11,15000,34
"182",2013,"8 AM","FarNorth",56.5,3270,4
"183",2013,"8 AM","FarSouthwest",6.7,120,1
"184",2013,"8 AM","North",36.65,2220,5
"185",2013,"8 AM","Northwest",8.05,60,1
"186",2013,"8 AM","South",11.1,540,1
"187",2013,"8 AM","Southeast",10.85,240,1
"188",2013,"8 AM","Southwest",13.675,360,1
"189",2013,"8 AM","West",29.05,1560,4
"190",2013,"8 PM","Central",527.775,33900,81
"191",2013,"8 PM","FarNorth",86.1,5280,8
"192",2013,"8 PM","FarSouthwest",6.5,60,1
"193",2013,"8 PM","North",193.94,13020,28
"194",2013,"8 PM","Northwest",7.45,300,1
"195",2013,"8 PM","South",9.5,420,1
"196",2013,"8 PM","Southeast",8.5,120,1
"197",2013,"8 PM","Southwest",9.75,420,1
"198",2013,"8 PM","West",65.87,3720,10
"199",2013,"9 AM","Central",360.4,25200,51
"200",2013,"9 AM","FarNorth",55.725,3060,5
"201",2013,"9 AM","FarSouthwest",5.95,120,1
"202",2013,"9 AM","North",37.175,2280,5
"203",2013,"9 AM","Northwest",7.85,60,2
"204",2013,"9 AM","South",11.3,600,1
"205",2013,"9 AM","Southeast",8.675,300,1
"206",2013,"9 AM","Southwest",11,120,2
"207",2013,"9 AM","West",34.7,1980,5
"208",2013,"9 PM","Central",420.65,26520,65
"209",2013,"9 PM","FarNorth",80.35,4740,8
"210",2013,"9 PM","FarSouthwest",13.05,180,1
"211",2013,"9 PM","North",177.36,11340,26
"212",2013,"9 PM","Northwest",7.25,300,1
"213",2013,"9 PM","South",9.1,420,1
"214",2013,"9 PM","Southeast",8.45,120,1
"215",2013,"9 PM","Southwest",10.25,480,1
"216",2013,"9 PM","West",56.22,2940,8
