"","year","hour","Side","V1","V2","V3"
"1",2014,"1 AM","Central",259.35,15600,41
"2",2014,"1 AM","FarNorth",61.8,3360,7
"3",2014,"1 AM","FarSouthwest",6.45,300,1
"4",2014,"1 AM","North",224.535,14040,33
"5",2014,"1 AM","Northwest",8.85,420,1
"6",2014,"1 AM","South",7.85,360,1
"7",2014,"1 AM","Southeast",7.85,240,1
"8",2014,"1 AM","Southwest",9.7,480,1
"9",2014,"1 AM","West",61.85,3300,9
"10",2014,"1 PM","Central",747.2,52500,110
"11",2014,"1 PM","FarNorth",72.95,4320,6
"12",2014,"1 PM","FarSouthwest",6.575,270,1
"13",2014,"1 PM","North",72.8,5100,10
"14",2014,"1 PM","Northwest",8.05,240,1
"15",2014,"1 PM","South",11.1,600,1
"16",2014,"1 PM","Southeast",7.25,360,1
"17",2014,"1 PM","Southwest",8.5,120,2
"18",2014,"1 PM","West",39.775,2340,6
"19",2014,"10 AM","Central",638.85,45180,92
"20",2014,"10 AM","FarNorth",64.425,3600,6
"21",2014,"10 AM","FarSouthwest",6.475,120,1
"22",2014,"10 AM","North",51.3,3180,7
"23",2014,"10 AM","Northwest",7.25,180,1
"24",2014,"10 AM","South",10.9,600,1
"25",2014,"10 AM","Southeast",8.95,240,1
"26",2014,"10 AM","Southwest",9.3,60,2
"27",2014,"10 AM","West",39.95,2220,6
"28",2014,"10 PM","Central",515.6,33300,81
"29",2014,"10 PM","FarNorth",95.15,5700,9
"30",2014,"10 PM","FarSouthwest",4.25,60,1
"31",2014,"10 PM","North",217.495,14250,31
"32",2014,"10 PM","Northwest",7.85,360,1
"33",2014,"10 PM","South",9.3,480,1
"34",2014,"10 PM","Southeast",9.45,360,1
"35",2014,"10 PM","Southwest",9.85,480,1
"36",2014,"10 PM","West",69.375,3840,10
"37",2014,"11 AM","Central",616.59,42120,91
"38",2014,"11 AM","FarNorth",67.47,3780,6
"39",2014,"11 AM","FarSouthwest",6.5,120,1
"40",2014,"11 AM","North",61.875,3990,9
"41",2014,"11 AM","Northwest",8.075,180,1
"42",2014,"11 AM","South",10.89,600,1
"43",2014,"11 AM","Southeast",9.35,480,1
"44",2014,"11 AM","Southwest",8.85,60,2
"45",2014,"11 AM","West",35.9,1980,5
"46",2014,"11 PM","Central",435.95,27660,68
"47",2014,"11 PM","FarNorth",87.7,5040,9
"48",2014,"11 PM","FarSouthwest",6.85,240,1
"49",2014,"11 PM","North",238.3,15480,34
"50",2014,"11 PM","Northwest",8.05,360,1
"51",2014,"11 PM","South",8.85,420,1
"52",2014,"11 PM","Southeast",6.5,120,1
"53",2014,"11 PM","Southwest",9.75,480,1
"54",2014,"11 PM","West",72.75,4020,11
"55",2014,"12 AM","Central",332.4,20700,52
"56",2014,"12 AM","FarNorth",76.55,4260,8
"57",2014,"12 AM","FarSouthwest",6.15,60,1
"58",2014,"12 AM","North",228.9,14760,33
"59",2014,"12 AM","Northwest",8.65,420,1
"60",2014,"12 AM","South",8.65,420,1
"61",2014,"12 AM","Southeast",7.25,300,1
"62",2014,"12 AM","Southwest",9.65,480,1
"63",2014,"12 AM","West",67.745,3720,10
"64",2014,"12 PM","Central",716.06,49890,105
"65",2014,"12 PM","FarNorth",69.55,3960,6
"66",2014,"12 PM","FarSouthwest",6.85,240,1
"67",2014,"12 PM","North",69.5,4740,10
"68",2014,"12 PM","Northwest",7.65,180,1
"69",2014,"12 PM","South",10.45,540,1
"70",2014,"12 PM","Southeast",7.475,240,1
"71",2014,"12 PM","Southwest",8.5,60,2
"72",2014,"12 PM","West",38.89,2220,6
"73",2014,"2 AM","Central",192.075,11220,31
"74",2014,"2 AM","FarNorth",43.7,2340,6
"75",2014,"2 AM","FarSouthwest",9.25,360,1
"76",2014,"2 AM","North",199.825,12180,29
"77",2014,"2 AM","Northwest",8.65,420,1
"78",2014,"2 AM","South",8.05,360,1
"79",2014,"2 AM","Southeast",7.775,180,1
"80",2014,"2 AM","Southwest",10.65,480,1
"81",2014,"2 AM","West",52.55,2760,8
"82",2014,"2 PM","Central",731.9,51600,107
"83",2014,"2 PM","FarNorth",82.775,5160,7
"84",2014,"2 PM","FarSouthwest",3.65,60,1
"85",2014,"2 PM","North",73.4,5100,10
"86",2014,"2 PM","Northwest",7.25,180,1
"87",2014,"2 PM","South",10.45,600,1
"88",2014,"2 PM","Southeast",6.35,180,1
"89",2014,"2 PM","Southwest",9.3,60,2
"90",2014,"2 PM","West",38.55,2280,6
"91",2014,"3 AM","Central",126.825,7500,21
"92",2014,"3 AM","FarNorth",36.145,1920,4
"93",2014,"3 AM","FarSouthwest",8.25,360,1
