"","year","week","Side","V1","V2","V3"
"1",2015,1,"Central",92.45,5760,15
"2",2015,1,"FarNorth",26.4,1440,2
"3",2015,1,"FarSouthwest",5.05,120,1
"4",2015,1,"North",42.24,2580,6
"5",2015,1,"Northwest",6.7,300,1
"6",2015,1,"South",7.475,420,1
"7",2015,1,"Southeast",7.05,300,1
"8",2015,1,"Southwest",8.55,300,1
"9",2015,1,"West",16.35,900,2
"10",2015,2,"Central",221.05,14640,35
"11",2015,2,"FarNorth",43.4,2640,4
"12",2015,2,"FarSouthwest",4.25,60,1
"13",2015,2,"North",52.04,3420,8
"14",2015,2,"Northwest",6.7,240,1
"15",2015,2,"South",10.375,600,1
"16",2015,2,"Southeast",8.25,480,1
"17",2015,2,"Southwest",9.8,240,2
"18",2015,2,"West",27.245,1620,4
"19",2015,3,"Central",257.6,17040,40
"20",2015,3,"FarNorth",39.17,2340,4
"21",2015,3,"FarSouthwest",8.325,120,1
"22",2015,3,"North",52.8,3420,8
"23",2015,3,"Northwest",6.5,240,1
"24",2015,3,"South",9.75,540,1
"25",2015,3,"Southeast",9.15,210,1
"26",2015,3,"Southwest",9.75,180,2
"27",2015,3,"West",27.6,1560,4
"28",2015,4,"Central",240.025,15780,37
"29",2015,4,"FarNorth",37,2160,3
"30",2015,4,"FarSouthwest",5.975,30,1
"31",2015,4,"North",47.715,3000,7
"32",2015,4,"Northwest",6.85,240,1
"33",2015,4,"South",8.5,420,1
"34",2015,4,"Southeast",5.25,240,1
"35",2015,4,"Southwest",9.05,180,1
"36",2015,4,"West",24.375,1380,4
"37",2015,5,"Central",297.03,20520,43
"38",2015,5,"FarNorth",37.3,2220,4
"39",2015,5,"FarSouthwest",5.875,0,1
"40",2015,5,"North",47.5,3060,7
"41",2015,5,"Northwest",6.775,300,1
"42",2015,5,"South",9.45,480,1
"43",2015,5,"Southeast",6.6,180,1
"44",2015,5,"Southwest",9.75,120,1
"45",2015,5,"West",24.925,1380,4
"46",2015,6,"Central",237.87,16140,37
"47",2015,6,"FarNorth",46.95,3000,4
"48",2015,6,"FarSouthwest",3.65,60,1
"49",2015,6,"North",60.4,4140,9
"50",2015,6,"Northwest",7.25,360,1
"51",2015,6,"South",10.5,660,1
"52",2015,6,"Southeast",8.45,300,1
"53",2015,6,"Southwest",9.65,180,1
"54",2015,6,"West",31.6,1920,5
"55",2015,7,"Central",294.3,20280,45
"56",2015,7,"FarNorth",41.075,2460,4
"57",2015,7,"FarSouthwest",7.1,300,1
"58",2015,7,"North",50.85,3300,8
"59",2015,7,"Northwest",6.7,300,1
"60",2015,7,"South",9.7,540,1
"61",2015,7,"Southeast",7.85,390,1
"62",2015,7,"Southwest",9.65,240,1
"63",2015,7,"West",31.25,1860,5
"64",2015,8,"Central",264.775,17700,41
"65",2015,8,"FarNorth",43.15,2520,4
"66",2015,8,"FarSouthwest",9.85,300,1
"67",2015,8,"North",53.34,3360,8
"68",2015,8,"Northwest",6.85,300,1
"69",2015,8,"South",9.65,480,1
"70",2015,8,"Southeast",12.15,600,1
"71",2015,8,"Southwest",10.45,300,1
"72",2015,8,"West",29.745,1740,4
"73",2015,9,"Central",288.375,19500,44
"74",2015,9,"FarNorth",44.95,2760,4
"75",2015,9,"FarSouthwest",11.65,360,1
"76",2015,9,"North",52.5,3540,8
"77",2015,9,"Northwest",7.25,360,1
"78",2015,9,"South",9.9,540,1
"79",2015,9,"Southeast",6.775,240,1
"80",2015,9,"Southwest",9.75,180,1
"81",2015,9,"West",30.25,1800,4
"82",2015,10,"Central",280.15,19200,42
"83",2015,10,"FarNorth",44.95,2760,4
"84",2015,10,"FarSouthwest",7.275,300,1
"85",2015,10,"North",48.775,3120,7
"86",2015,10,"Northwest",7.05,300,1
"87",2015,10,"South",10.05,540,1
"88",2015,10,"Southeast",8.25,420,1
"89",2015,10,"Southwest",10.05,240,1
"90",2015,10,"West",27.6,1620,4
"91",2015,11,"Central",278.2,19440,41
"92",2015,11,"FarNorth",41.65,2520,4
"93",2015,11,"FarSouthwest",9.65,240,1
"94",2015,11,"North",64.65,4680,9
"95",2015,11,"Northwest",7.05,300,1
"96",2015,11,"South",8.9,480,1
"97",2015,11,"Southeast",7.85,300,1
"98",2015,11,"Southwest",9.85,180,1
"99",2015,11,"West",27.65,1620,4
"100",2015,12,"Central",284.9,19440,42
"101",2015,12,"FarNorth",40.3,2400,4
"102",2015,12,"FarSouthwest",6.5,90,1
"103",2015,12,"North",46.6,2940,7
"104",2015,12,"Northwest",6.5,240,1
"105",2015,12,"South",9.05,480,1
"106",2015,12,"Southeast",8.075,330,1
"107",2015,12,"Southwest",9.75,180,1
"108",2015,12,"West",26.925,1560,4
"109",2015,13,"Central",296.835,20640,44
"110",2015,13,"FarNorth",42.025,2520,4
"111",2015,13,"FarSouthwest",3.25,0,1
"112",2015,13,"North",43.35,2700,7
"113",2015,13,"Northwest",6.675,300,1
"114",2015,13,"South",8.45,480,1
"115",2015,13,"Southeast",7.45,300,1
"116",2015,13,"Southwest",9.7,180,1
"117",2015,13,"West",25.77,1440,4
"118",2015,14,"Central",235.53,15900,35
"119",2015,14,"FarNorth",37.05,2220,3
"120",2015,14,"FarSouthwest",7.65,60,1
"121",2015,14,"North",38.85,2400,6
"122",2015,14,"Northwest",6.875,240,1
"123",2015,14,"South",9.9,540,1
"124",2015,14,"Southeast",10.4,450,1
"125",2015,14,"Southwest",9.7,240,1
"126",2015,14,"West",22.55,1260,3
"127",2015,15,"Central",260.52,18120,39
"128",2015,15,"FarNorth",39.15,2280,3
"129",2015,15,"FarSouthwest",11.2,300,1
"130",2015,15,"North",42.35,2640,6
"131",2015,15,"Northwest",6.65,300,1
"132",2015,15,"South",8.45,480,1
"133",2015,15,"Southeast",8.05,390,1
"134",2015,15,"Southwest",8.5,180,1
"135",2015,15,"West",24.25,1320,4
"136",2015,16,"Central",311.885,22380,45
"137",2015,16,"FarNorth",40.75,2460,3
"138",2015,16,"FarSouthwest",4.65,60,1
"139",2015,16,"North",50.1,3360,7
"140",2015,16,"Northwest",7.25,300,1
"141",2015,16,"South",8.5,420,1
"142",2015,16,"Southeast",9.95,180,1
"143",2015,16,"Southwest",9.75,180,1
"144",2015,16,"West",25.17,1440,4
"145",2015,17,"Central",274.875,19140,41
"146",2015,17,"FarNorth",39.5,2370,3
"147",2015,17,"FarSouthwest",9.55,60,1
"148",2015,17,"North",43.125,2760,6
"149",2015,17,"Northwest",6.5,240,1
"150",2015,17,"South",8.9,420,1
"151",2015,17,"Southeast",10.875,300,1
"152",2015,17,"Southwest",9.675,180,1
"153",2015,17,"West",24.525,1440,4
"154",2015,18,"Central",259.75,18180,39
"155",2015,18,"FarNorth",38.745,2400,3
"156",2015,18,"FarSouthwest",14.15,210,1
"157",2015,18,"North",50.975,3360,7
"158",2015,18,"Northwest",6.65,240,1
"159",2015,18,"South",9.25,480,1
"160",2015,18,"Southeast",6.9,240,1
"161",2015,18,"Southwest",10.05,240,1
"162",2015,18,"West",23.4,1320,3
"163",2015,19,"Central",296.05,21180,42
"164",2015,19,"FarNorth",40.4,2400,3
"165",2015,19,"FarSouthwest",6.5,30,1
"166",2015,19,"North",39.05,2460,6
"167",2015,19,"Northwest",6.875,240,1
"168",2015,19,"South",8.05,420,1
"169",2015,19,"Southeast",7.95,360,1
"170",2015,19,"Southwest",9.25,240,1
"171",2015,19,"West",23.425,1380,3
"172",2015,20,"Central",310.025,22320,44
"173",2015,20,"FarNorth",39.4,2340,3
"174",2015,20,"FarSouthwest",13.9,840,1
"175",2015,20,"North",50.365,3300,7
"176",2015,20,"Northwest",6.7,300,1
"177",2015,20,"South",7.85,420,1
"178",2015,20,"Southeast",6.45,180,1
"179",2015,20,"Southwest",9.45,120,1
"180",2015,20,"West",24.1,1380,4
"181",2015,21,"Central",290.05,20940,41
"182",2015,21,"FarNorth",39.5,2400,3
"183",2015,21,"FarSouthwest",11.65,360,1
"184",2015,21,"North",42,2700,6
"185",2015,21,"Northwest",6.9,300,1
"186",2015,21,"South",9.45,480,1
"187",2015,21,"Southeast",5.95,150,1
"188",2015,21,"Southwest",9.75,240,1
"189",2015,21,"West",24.35,1440,4
"190",2015,22,"Central",302.7,22320,42
"191",2015,22,"FarNorth",38.15,2280,3
