"community","year","month","median","mean","sum","count"
1,2013,1,4.45,5.58945454545455,9837.44,1760
1,2013,2,4.65,8.12035694366983,14559.8,1793
1,2013,3,4.84,8.91645500228415,19518.12,2189
1,2013,4,4.65,13.1027422907489,23794.58,1816
1,2013,5,4.45,8.10328654404647,16741.39,2066
1,2013,6,4.65,6.43409632571996,12958.27,2014
1,2013,7,4.45,6.33238191975622,12468.46,1969
1,2013,8,4.45,7.9363052989791,16324.98,2057
1,2013,9,4.65,6.06132474226804,11758.97,1940
1,2013,10,4.65,7.13536741214058,15633.59,2191
1,2013,11,4.65,6.23153098982424,13472.57,2162
1,2013,12,4.65,6.99342281879195,16672.32,2384
2,2013,1,3.45,8.76123520126283,22200.97,2534
2,2013,2,3.45,10.8838977399037,29375.64,2699
2,2013,3,3.25,10.1255361930295,30214.6,2984
2,2013,4,3.25,13.1766473055824,40834.43,3099
2,2013,5,3.25,7.69554963357762,23102.04,3002
2,2013,6,3.25,7.35365331702843,24053.8,3271
2,2013,7,3.25,6.49428098676294,21586.99,3324
2,2013,8,3.25,5.32722841669321,16722.17,3139
2,2013,9,3.25,7.96169220736876,24418.51,3067
2,2013,10,3.25,8.96342761131336,32008.4,3571
2,2013,11,3.25,8.41278915662651,27930.46,3320
2,2013,12,3.25,9.40563775510204,36870.1,3920
3,2013,1,4.85,7.97177734025416,44538.32,5587
3,2013,2,4.85,7.52517698399871,46558.27,6187
3,2013,3,5.05,6.76501983252534,46049.49,6807
3,2013,4,5.05,10.1955238240684,66760.29,6548
3,2013,5,5.05,8.16695247783752,56196.8,6881
3,2013,6,5.05,7.91144296602506,61242.48,7741
3,2013,7,4.85,7.0920026560425,53402.78,7530
3,2013,8,4.85,6.21052178739939,44753.02,7206
3,2013,9,4.85,6.53111536197763,44385.46,6796
3,2013,10,4.85,6.14674124513619,44231.95,7196
3,2013,11,4.85,7.89917962870045,62972.26,7972
3,2013,12,4.85,6.18233823034653,55127.91,8917
4,2013,1,4.45,7.11854961832061,11190.36,1572
4,2013,2,4.65,11.5331506849315,18522.24,1606
4,2013,3,4.45,9.33988865323436,17615.03,1886
4,2013,4,4.65,7.28139713971397,13237.58,1818
4,2013,5,4.65,6.87260894495413,11985.83,1744
4,2013,6,4.65,6.27125808055694,12611.5,2011
4,2013,7,4.25,7.3131935483871,13602.54,1860
4,2013,8,4.05,6.73806789815277,13496.35,2003
4,2013,9,4.25,5.96176938369781,11995.08,2012
4,2013,10,4.25,5.54304303797468,10947.51,1975
4,2013,11,4.45,5.78567800453515,12757.42,2205
4,2013,12,4.45,5.73111290975314,14161.58,2471
5,2013,1,4.25,6.62644311377245,11066.16,1670
5,2013,2,4.25,5.51212039045553,10164.35,1844
5,2013,3,4.45,6.72157393483709,13409.54,1995
5,2013,4,4.65,6.741647597254,11784.4,1748
5,2013,5,4.45,7.11125451729479,13774.5,1937
5,2013,6,4.25,5.76554172429691,12505.46,2169
5,2013,7,4.25,5.49317125877904,10167.86,1851
5,2013,8,4.25,5.91522966242391,10688.82,1807
5,2013,9,4.25,5.66640070921986,9587.55,1692
5,2013,10,4.25,5.8092511700468,11171.19,1923
5,2013,11,4.25,5.32206356517734,11554.2,2171
5,2013,12,4.25,5.42670607419486,13311.71,2453
6,2013,1,5.25,6.88608431552843,247134.68,35889
6,2013,2,5.25,6.71445650408705,248072.31,36946
6,2013,3,5.45,7.43208192623131,338917.8,45602
6,2013,4,5.45,8.79185650041922,346038.68,39359
6,2013,5,5.45,6.88799002540698,292794.68,42508
6,2013,6,5.45,8.18566694339115,364826.99,44569
