community,year,week,median,mean,sum,count
1,2013,1,4.85,6.172340426,3191.1,517
1,2013,2,4.25,6.06576087,2232.2,368
1,2013,3,4.25,5.150338164,2132.24,414
1,2013,4,4.25,5.284820937,1918.39,363
1,2013,5,4.65,6.923397436,3240.15,468
1,2013,6,4.65,6.003681462,2299.41,383
1,2013,7,4.65,6.031747573,2485.08,412
1,2013,8,4.85,5.94514,2972.57,500
1,2013,9,5.05,13.28825623,7468,562
1,2013,10,4.85,10.84970297,5479.1,505
1,2013,11,4.85,12.19301344,6352.56,521
1,2013,12,4.65,6.158526316,2925.3,475
1,2013,13,4.65,5.489178744,2272.52,414
1,2013,14,4.85,9.034184397,3821.46,423
1,2013,15,4.45,6.159043928,2383.55,387
1,2013,16,4.845,12.89424658,5647.68,438
1,2013,17,4.45,6.237208791,2837.93,455
1,2013,18,4.45,29.9026226,14024.33,469
1,2013,19,4.45,7.622698745,3643.65,478
1,2013,20,4.45,6.602662338,3050.43,462
1,2013,21,4.65,6.549628821,2999.73,458
1,2013,22,4.745,7.107616034,3369.01,474
1,2013,23,4.65,6.344618557,3077.14,485
1,2013,24,4.65,6.68725537,2801.96,419
1,2013,25,4.45,6.503004115,3160.46,486
1,2013,26,4.45,5.794177489,2676.91,462
1,2013,27,4.84,7.970619266,3475.19,436
1,2013,28,4.45,5.919425532,2782.13,470
1,2013,29,4.25,5.796247335,2718.44,469
1,2013,30,4.25,5.721481481,2317.2,405
1,2013,31,4.65,6.565751073,3059.64,466
1,2013,32,4.45,6.140951374,2904.67,473
1,2013,33,4.45,12.32726496,5769.16,468
1,2013,34,4.25,5.971793249,2830.63,474
1,2013,35,4.45,7.766446469,3409.47,439
1,2013,36,4.85,6.903109244,3285.88,476
1,2013,37,4.45,5.764495413,2513.32,436
1,2013,38,4.45,5.385174014,2321.01,431
1,2013,39,4.65,6.281952278,2895.98,461
1,2013,40,4.65,8.31287234,3907.05,470
1,2013,41,4.65,8.078452138,3966.52,491
1,2013,42,4.84,6.344849095,3153.39,497
1,2013,43,4.65,6.088015414,3159.68,519
1,2013,44,4.65,6.361314815,3435.11,540
1,2013,45,4.65,6.555957895,3114.08,475
1,2013,46,4.65,6.057065868,3034.59,501
1,2013,47,4.84,5.981156187,2948.71,493
1,2013,48,4.65,6.209623762,3135.86,505
1,2013,49,4.65,6.711136767,3778.37,563
1,2013,50,4.65,8.26887522,4704.99,569
1,2013,51,4.65,5.365863874,3074.64,573
1,2013,52,5.05,8.085598194,3581.92,443
2,2013,1,3.45,6.380443286,4893.8,767
2,2013,2,3.45,9.603913894,4907.6,511
2,2013,3,3.25,9.502266436,5492.31,578
2,2013,4,3.25,10.32928455,6352.51,615
2,2013,5,3.65,6.588348993,4908.32,745
2,2013,6,3.45,6.987408585,4395.08,629
2,2013,7,3.25,6.9138,4493.97,650
2,2013,8,3.25,21.47688372,13852.59,645
2,2013,9,3.45,11.13550073,7672.36,689
2,2013,10,3.25,6.174652568,4087.62,662
2,2013,11,3.25,7.725598349,5616.51,727
2,2013,12,3.25,6.585614308,4234.55,643
2,2013,13,3.25,19.0933179,12372.47,648
2,2013,14,3.25,8.826355422,5860.7,664
2,2013,15,3.25,18.212,14023.24,770
2,2013,16,3.25,13.63083897,10073.19,739
2,2013,17,3.25,12.40910082,9108.28,734
2,2013,18,3.25,7.315834464,5391.77,737
2,2013,19,3.25,10.46186047,6747.9,645
2,2013,20,3.25,7.053510972,4500.14,638
2,2013,21,3.25,7.508893557,5361.35,714
2,2013,22,3.25,7.501109399,4868.22,649
2,2013,23,3.25,8.985969101,6398.01,712
2,2013,24,3.25,6.496462396,4664.46,718
2,2013,25,3.25,5.818941935,4509.68,775
2,2013,26,3.25,7.392622577,6483.33,877
2,2013,27,3.25,8.580653595,6564.2,765
2,2013,28,3.25,5.7842362,4505.92,779
2,2013,29,3.25,5.117907574,3986.85,779
2,2013,30,3.25,6.910552486,5003.24,724
2,2013,31,3.25,5.178462687,3469.57,670
2,2013,32,3.25,6.321879815,4102.9,649
2,2013,33,3.25,5.04209205,3615.18,717
2,2013,34,3.25,5.289255319,3480.33,658
2,2013,35,3.25,7.866245307,6285.13,799
2,2013,36,3.25,6.387659864,4694.93,735
2,2013,37,3.25,8.121471802,5904.31,727
2,2013,38,3.25,9.414,6542.73,695
2,2013,39,3.25,5.377986301,3925.93,730
2,2013,40,3.25,6.441550191,5069.5,787
2,2013,41,3.25,12.93676431,9715.51,751
2,2013,42,3.45,9.863108571,8630.22,875
2,2013,43,3.25,7.596096654,6130.05,807
2,2013,44,3.25,6.23556962,4926.1,790
2,2013,45,3.25,8.908366093,7251.41,814
2,2013,46,3.25,9.686221591,6819.1,704
2,2013,47,3.25,9.216708701,7308.85,793
2,2013,48,3.25,6.870833333,5276.8,768
2,2013,49,3.25,11.99222564,11692.42,975
2,2013,50,3.45,8.164786996,7282.99,892
2,2013,51,3.25,9.336825569,8617.89,923
2,2013,52,3.25,9.752476447,7246.09,743
3,2013,1,4.85,5.946626324,11792.16,1983
3,2013,2,4.84,6.03894247,7138.03,1182
3,2013,3,4.85,9.409600666,11310.34,1202
3,2013,4,4.85,11.39932127,15115.5,1326
3,2013,5,4.85,5.911576898,9109.74,1541
3,2013,6,5.05,7.29320287,11180.48,1533
3,2013,7,4.85,9.378082759,13598.22,1450
3,2013,8,4.85,6.105183516,9481.35,1553
3,2013,9,5.05,8.189499706,13913.96,1699
3,2013,10,5.05,7.438353272,10569.9,1421
3,2013,11,4.85,6.138409091,10263.42,1672
3,2013,12,5.05,7.035288653,10602.18,1507
3,2013,13,5.05,6.038078967,7952.15,1317
3,2013,14,4.85,5.632295302,8392.12,1490
3,2013,15,5.05,7.731139064,11063.26,1431
3,2013,16,5.05,10.65794038,19663.9,1845
3,2013,17,4.85,17.78292308,25429.58,1430
3,2013,18,5.05,6.384327869,9736.1,1525
3,2013,19,5.05,12.10487773,18314.68,1513
3,2013,20,5.05,6.304945726,9293.49,1474
3,2013,21,5.05,6.77653235,11940.25,1762
3,2013,22,5.05,8.265411765,12646.08,1530
3,2013,23,5.05,6.026846424,10281.8,1706
3,2013,24,5.05,6.560071642,10988.12,1675
3,2013,25,5.25,10.62411453,20037.08,1886
3,2013,26,5.05,8.624860746,16413.11,1903
3,2013,27,5.05,6.099790337,13382.94,2194
3,2013,28,4.85,5.90858147,9246.93,1565
3,2013,29,4.85,6.490176437,11403.24,1757
3,2013,30,4.84,10.57557996,15408.62,1457
3,2013,31,4.85,6.393531553,10536.54,1648
3,2013,32,4.85,6.798448501,10428.82,1534
3,2013,33,4.85,6.051989956,9640.82,1593
3,2013,34,4.85,6.388293898,10259.6,1606
3,2013,35,4.85,5.623306846,9199.73,1636
3,2013,36,4.85,7.72347348,11940.49,1546
3,2013,37,4.85,6.012691052,9205.43,1531
3,2013,38,4.85,6.729134199,10881.01,1617
3,2013,39,4.85,5.998060423,9926.79,1655
3,2013,40,4.85,6.271652439,10285.51,1640
3,2013,41,4.84,5.601084571,8676.08,1549
3,2013,42,4.85,6.591992754,10916.34,1656
3,2013,43,4.85,5.883428571,10501.92,1785
3,2013,44,4.85,6.011878453,10881.5,1810
3,2013,45,4.85,7.132347775,12182.05,1708
3,2013,46,4.85,5.948086623,10849.31,1824
3,2013,47,4.85,6.650235875,12123.38,1823
3,2013,48,4.85,12.89772096,23203,1799
3,2013,49,4.85,6.197548618,12110.01,1954
3,2013,50,4.85,5.746584158,12768.91,2222
3,2013,51,4.85,5.973349901,12018.38,2012
3,2013,52,4.85,7.105073921,12014.68,1691
4,2013,1,4.65,5.563333333,2904.06,522
4,2013,2,4.65,9.11635514,2926.35,321
4,2013,3,4.45,8.759766764,3004.6,343
4,2013,4,4.65,5.624038462,2339.6,416
4,2013,5,4.65,26.79622396,10289.75,384
4,2013,6,4.85,6.142615804,2254.34,367
4,2013,7,4.65,6.819767442,2639.25,387
4,2013,8,4.65,5.927202797,2542.77,429
4,2013,9,4.65,15.56314583,7470.31,480
4,2013,10,4.25,5.911133501,2346.72,397
