Sum of sum,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,Grand Total
Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,
1,3191.1,2232.2,2132.24,1918.39,3240.15,2299.41,2485.08,2972.57,7468,5479.1,6352.56,2925.3,2272.52,3821.46,2383.55,5647.68,2837.93,14024.33,3643.65,3050.43,2999.73,3369.01,3077.14,2801.96,3160.46,2676.91,3475.19,2782.13,2718.44,2317.2,3059.64,2904.67,5769.16,2830.63,3409.47,3285.88,2513.32,2321.01,2895.98,3907.05,3966.52,3153.39,3159.68,3435.11,3114.08,3034.59,2948.71,3135.86,3778.37,4704.99,3074.64,3581.92,4850.43,4349.97,3711.28,3456.64,3084.85,4106.93,4013.85,3413.66,3741.62,3444.84,3761.61,6144.78,4430.58,5523.93,3596.45,4467.13,3949.41,4406.28,4475.68,3695.08,3860.13,3866.98,3715.39,4559.41,4063,3467.27,3213.98,4540.65,3696.62,2502.04,3399.13,3837.42,2056.57,3217.82,3183.13,2354.19,3997.36,2545.28,3494.02,3877.02,3104.69,2834.76,3684.92,3093.44,2883.6,3720.67,4310.53,2628.49,3613.69,3056.87,3079.85,2386.49,2142.02,5691.04,4589.58,2593.79,2865.91,3513.57,4050.02,5198.99,4586.43,4666.18,5892.46,4372.49,5315.89,3416.2,4057.62,5690.9,5879.52,4998.56,4215.04,5422.65,5844.13,6481.14,6092.21,4538.58,4043.54,3206.09,2651.6,3232.58,2590.9,3430.79,3595.06,3321.53,4028.7,2835.44,3166.59,3738.46,2662.8,3368.51,2830.23,3672.7,2593.61,2718.09,3058.09,3752.58,3528.43,2920.33,3565.9,2387.11,3857.75,2860.7,3695.18,2542.71,2053.99,2851.3,4010.85,4314.87,3197,3838.17,3513.55,3779.25,3858.85,4435.11,4275.77,5570.85,4664.51,5114.26,4931.76,5405.65,4022.63,3980,3601.25,3967.25,3938.75,4267.58,3536,3982.55,3668.15,4253.74,2560.51,3509.93,3289.8,3722.75,4566.17,3413.89,3603.22,3018.2,2478.5,1982.75,1934.5,1317.01,2038.25,2138.75,2011.5,3107.88,2248.75,2835.75,2186,1889.75,2239.1,1580.55,2495,2392.5,2922.04,1732.25,1958.8,1387.29,751776.85
2,4893.8,4907.6,5492.31,6352.51,4908.32,4395.08,4493.97,13852.59,7672.36,4087.62,5616.51,4234.55,12372.47,5860.7,14023.24,10073.19,9108.28,5391.77,6747.9,4500.14,5361.35,4868.22,6398.01,4664.46,4509.68,6483.33,6564.2,4505.92,3986.85,5003.24,3469.57,4102.9,3615.18,3480.33,6285.13,4694.93,5904.31,6542.73,3925.93,5069.5,9715.51,8630.22,6130.05,4926.1,7251.41,6819.1,7308.85,5276.8,11692.42,7282.99,8617.89,7246.09,7230.03,8384.45,8199.63,7137.38,6500.33,7382.54,8383.73,7828.46,6478.96,5611.95,6885.84,6951.42,7921.47,6858.07,9311.34,5606.75,6963.07,8227.45,5745.55,5067.02,4843.15,6168.18,5184.75,4145.7,4156.14,5445.64,5170.86,6076.32,5223.84,3826.6,5480.82,5626.88,5656.29,5689.61,7337.3,7132.54,7402.17,7602.68,11401.6,11098.98,8290.19,9923.18,9850.92,10103.92,12306.05,13655.43,7270.72,6104.7,4502.09,4717.01,5218.63,3203.99,3075.89,7417.65,5107.5,9484.18,5088.1,5454.31,6427.72,6300.67,6752.02,6003.65,9062.27,9919.81,4992,4866.38,3187.82,5068.19,4338.32,5360.02,4314.4,6750.75,6179,4990.96,6025.89,6542.27,5995.04,4340.94,7044.62,4634.61,4153.97,4766.76,4503.08,5721.5,4697.48,4172.2,4098.27,5417.81,5247.6,6436.8,6613.25,5862.52,5045.47,6179.64,8581.63,6552.32,5804.97,7341.08,7155,5146.98,5991.77,7009.64,7370.67,5674.64,3909.27,5979.75,6795.85,6511.52,6816.05,5624.5,8255.12,7016.33,6950.72,6471.78,7439,6979.87,6280.51,5144.93,6943.85,3647.38,5730.13,6368.87,4871.09,5462.85,6905.16,3746.61,4489.39,4987.36,5349.38,6442.16,3108.1,3726.5,5732.8,4607.02,6146.74,4642.26,4801.21,3836.56,3537.78,3915.69,5856.05,2146.25,4314.5,4517.62,5332.7,5102.59,9143.42,4402.1,4511.95,3577.95,4894.84,3104.33,3720.05,5324.32,5983.11,3267.87,3352,4058.3,1277864.5
3,11792.16,7138.03,11310.34,15115.5,9109.74,11180.48,13598.22,9481.35,13913.96,10569.9,10263.42,10602.18,7952.15,8392.12,11063.26,19663.9,25429.58,9736.1,18314.68,9293.49,11940.25,12646.08,10281.8,10988.12,20037.08,16413.11,13382.94,9246.93,11403.24,15408.62,10536.54,10428.82,9640.82,10259.6,9199.73,11940.49,9205.43,10881.01,9926.79,10285.51,8676.08,10916.34,10501.92,10881.5,12182.05,10849.31,12123.38,23203,12110.01,12768.91,12018.38,12014.68,29564.83,19498.86,11452.57,12743.7,11582.03,15650.11,13257.28,12716.56,14075.99,12327.97,13255.51,14810.41,13978.56,13782.69,12255.25,11043,9997.87,16360.71,10641.24,20830.21,11207.7,11174.06,13948.95,11425.45,14737.51,12597.17,12887.87,12707.74,10820.23,11043.03,11714.8,10513.64,9624.88,9645.41,11169.23,12726.27,11545.37,12169.77,15935.63,16482.73,12506.39,17397.02,12710.62,15927.99,14037,15091.21,16588.29,13404.66,15793.71,18031.53,15499.27,10142.35,9532.69,18945.33,14763.79,16675.81,12526.48,24555.21,14198.46,15222.82,16260.31,16326.58,15555.85,11510.45,20500.46,11311.34,13209.66,14115.73,13503.77,15695,13236.31,12622.92,11801.23,11237.46,12556.01,12833.04,15854.05,13517.51,14863.68,19704.24,11253.26,16828.93,17232.06,16259,13130.51,12634.69,10767.89,9657.94,9373.98,12983.68,11364.39,13386.03,12726.14,12631.46,11156.23,12998.52,12035.89,10739.17,12603.14,15986.82,12857.92,11051.46,13632.9,8208.15,12432.71,13020.64,12689.45,11637.25,10840.27,11833.8,12926.68,11354.39,11200.53,12976.92,10600.9,13537.96,10297.9,11878.94,11966.48,12019.29,10061.48,13038.4,10848.53,10778.45,11421.34,12106.66,13087.06,12219.95,12603.75,11965.04,11018.56,10784.57,12824.7,13008.05,10372.38,11130,9295.05,9869.02,9521.2,8047.16,8489.71,4812.73,10621.12,10876.71,9332.22,12389.43,10973.83,13941.2,11110.64,10712.64,9390.81,7435.44,10635.22,9925.67,12514.29,8328.99,5400.9,7962.12,2641457.34
4,2904.06,2926.35,3004.6,2339.6,10289.75,2254.34,2639.25,2542.77,7470.31,2346.72,2741.23,2769.47,4181.49,2612.86,3393.78,3744.85,3007.54,2380.62,1941.64,3655.28,2729.39,3057.94,2555.15,2323.73,3370.67,3061.46,3281.82,2217.06,4021.02,3216.27,2434.65,5155.75,2550.65,2273.35,2364.31,2745.89,2646.55,2535.01,3323.09,2359.79,2691.96,2530.82,2618.76,2694.3,2624.68,2739.73,2839.1,3263.19,3158.8,3782.14,3240.72,2568.76,5291.63,3673.19,3210.37,3441.17,3626.03,3516.48,3233.89,3688.8,3933.67,7727.39,4175.67,2849.21,3819.63,3304.18,3060.57,2838.07,2890.51,2954.32,3047.38,3041.42,3004.26,3667.58,3407.44,3437.17,3922.64,2685.42,2854.82,3229.08,4377.51,2682.69,3075.7,3286.36,3187.02,4112.9,2893.94,2747.55,3136.08,3996.11,4030.42,7125.12,3357.28,5292.55,4605.28,5383.72,5557.67,4818.77,4332.09,3522.91,5420.04,4777.02,3403.57,2487.94,2205.58,3400.24,4237.3,3849.61,3471.4,4664.33,3895.01,4111.3,4092,3761.68,4313.04,3884.45,3967.58,3000.86,3754.21,2549.84,2283.44,2815.47,2112.95,2252.33,2203.18,2941.36,2081.43,2971.56,2306.84,3179.06,2695.33,3167.9,2023.4,2406.65,3277.03,2492.28,2768.51,2989.64,2293.04,2730.71,2909.01,2731.49,2841.42,2531.6,2488.19,2608.2,2267.29,2803.23,2283.85,2438.52,2721.53,2156.54,2665.8,3037.51,2723.96,1870.26,1518.18,3244.29,2911.16,2780.2,4246.9,2998.62,3043.85,3134.55,2800.96,3181.06,2630.6,2400.25,2180.91,3200.97,2206.2,3528.6,2528.24,3445.77,2308.35,2252.5,1942.43,2531.47,2516.05,2100.82,1618.95,1870.67,1626.53,2018.35,2562.2,2012.04,1752.25,1976.2,2296.85,2347.36,2019.97,2154.6,2271.5,810.75,1846.97,2154,1353.5,1785.75,1725.23,2258.5,2133,2293.55,2108.1,1367.75,1846.25,2255.5,2408,1995.5,1251.5,1654.54,634902.98
5,2977.11,1996.99,2045.6,4250.41,2351.7,1901.3,2840.05,2621.12,3131.65,3449.17,3487.01,3045.15,1710.48,2550.6,3121.48,2740.3,2824.57,2415.4,3361.38,2710.38,4035.83,3087.05,3706.34,2313.58,2313.64,2883.81,1873.22,2583.4,2667.97,2344.5,2743.95,2586.29,1960.25,1932.31,2477.73,2284.71,1947.24,2548.76,2280.95,2501.54,2513.8,2506.29,2700.09,2653.33,2560.85,2885.38,2798.34,2126.52,2807.33,3606.2,3179.86,2242.83,3724.58,3386.92,4477.89,3088.77,2930.27,2922.37,3104.8,2864.19,3106.08,3403.86,3553.1,2817.99,2953.24,2918.22,2269.95,2747.07,3261.64,2567.08,2732.02,2508.36,2351.07,2677.54,3768.41,2555.51,2672.45,2595.26,2141.14,2517.06,2143.84,2460.69,2356.23,3136.74,2880.08,3897.25,2891.31,3381.43,3641.94,3885.57,6714.15,3568.73,3145.11,4094.29,3756.57,3974.75,4186.95,3694.26,2773.9,2050.17,2322.47,2560.29,2607.48,1398.29,2023.41,2460.3,3249.81,2054.11,2077.87,3471.21,2925.82,3047.88,2572.75,2943.57,3336.72,2607.2,2641.57,1763.25,2377.22,2149.04,2245.43,2389.34,2167.32,2050.96,2861.91,2044.15,2083.51,2408.74,1985.18,1652.61,1893.49,2423.8,1529.1,1915.8,1966.47,3215.68,1483.2,1612.76,1616.47,1892.58,2562.27,1944.04,1664.99,2212.72,2010.24,2021.55,1758.75,2339.64,1978.73,1889.52,1812.98,1420.77,1985.05,1414.05,1974.28,1193.97,1145.62,1706.84,2015.2,3406.41,1289.25,1707.75,2110.52,1801.85,1837.75,1783.7,2713.76,2121.7,1863,1949.5,2088.75,1548.6,1930.75,1587.95,1647.25,1460.3,1476.19,1578.72,1529.86,2114,920.5,1455.5,2270.79,1897.1,1799,2203.53,1522.26,1518.75,1111.85,1400,1152.35,991.56,1060.75,1145.3,1369.08,1136.99,1268.5,1200,1315.25,1502.75,1203.75,921,1136,756.25,1061.25,1202,953.31,921.75,773.75,1372.83,495607.77
6,81721.69,44496.2,49019.91,80619.61,59509.48,60380.49,67342.75,60774.96,94130.52,63079.44,86745.65,62745.74,50779.23,59022.33,72177.91,110919.8,87507.04,68037.35,59464.68,66743.51,73215.42,111933.83,60336.24,60620.07,66401,107281.17,73202.76,74598.59,66713.75,77093.39,72914.87,57535.38,78775.8,55366.4,66682.45,66444.27,55767.88,59059.89,59121.83,52177.76,51821.45,69612.24,71834.88,75340.39,60170.45,67185.67,78675,53945.69,68616.2,80619.03,67707.13,77437.7,110897.6,75095.99,70383.02,87117.53,77872.99,79141.7,85078.88,76632.3,85129.68,83777.03,97727.16,65369.57,65632.12,79612.47,62382.71,63309.16,71419.87,76491.43,81896.86,91678,63441.93,63764.45,68065.11,59591.68,73362.87,70884.59,58872.15,65786.18,61694.73,60407.35,65974.17,63605.27,54903.78,58815.48,51427.77,59793.25,57370.92,62765.48,54862.78,50827.6,52973.56,83450.86,55992.86,71544.46,52094.63,55510.45,57385.31,43554.44,54944.63,60798.89,56369.1,40613.22,43962.13,57296.4,54889.49,54077.55,47349.55,87688.79,58892.05,60973.27,71029.61,53520.33,69197.05,52391.1,57829.53,48324.11,49574.91,75694.19,50623.27,58914.02,48056.14,55962.36,50934.34,67668.84,46991.68,95279.54,59672.81,50760.41,45328.83,48580.37,33895.24,46119.21,42611.06,48361.53,45533.98,49904.89,40990.14,43889.23,42689.21,47235.15,46508.18,38892.77,41445.74,50283.19,41408.44,47290.69,35846.5,35478.74,40106.7,30241.96,38507.36,39793.09,52479.2,22830.01,20134.44,34491.96,39649.89,35346.01,32670.89,32186.48,39068.73,38509.51,34555.08,35909.44,47287.63,39632.92,31908.01,34048.92,35681.21,45809.37,31136.28,37545.4,35926.33,41647.13,36004.61,38452.23,40012.74,28899.19,33089.09,40656.61,27161.36,33257.16,32792.44,31825.01,34534.27,26442.43,36608.34,33212.88,28901.05,31369.16,22199.11,18874.76,32217.5,23201.45,27846.35,24912.24,26817,31828.81,31809.1,20941.88,19983.57,16298.25,22046.25,21771.81,25198.89,14999.5,14025.51,37936.98,11414600.93
7,54636.49,30025.44,39392.99,48016.96,49469.96,34190.94,38305.92,49146.98,45417.07,36021.03,58002.62,42259.97,32452.57,34910.16,44081.79,62513.19,64301.9,36047.68,40140.2,38331.37,56421.79,71054.65,44795.49,38891.33,74953.81,41252.89,48764.58,40927.85,44344.43,56944.16,39209.17,37288.54,41093.87,47009.93,38723.88,46663.8,41553.41,38319.3,36687.7,39688.08,36062.71,42228.37,44990.11,44287.55,42923.32,47328.17,45102.84,35675.66,46761.79,47393.54,43258.04,32943.54,56391.2,50841.12,49060.13,49028.24,46187.66,54551.05,49219.95,51482.68,54448.56,49177.22,59085.89,44087.2,44287.93,45284.95,40964.29,49430.81,47806.14,44797.67,50353.99,52674.54,46544.59,47923.7,51385.62,49834.16,44762.72,40681.56,42681.19,41550.48,44442.65,44359.42,39789.63,39676.57,40269.64,38814.21,35528.12,36312.28,40653.67,37897.5,35121.23,44641.14,41229.12,40705.98,36754.43,43234.43,36853.4,38284.1,37890.8,28433.43,39714.42,38795.64,39640.82,22623.35,28914.88,35648.06,39336.12,34362.93,37643.71,48548.96,38704.31,42863.42,37068.28,34466.02,42663.66,31896.77,41321.45,26195.81,32225.64,31795.26,39836.29,42835.5,31455.92,34107.3,32664.49,37348.31,35330.64,38518.91,33812.19,29023.09,29451.21,26061.04,26098.98,29381.38,29742.08,27438.66,30445.03,27345.49,23968.06,24565.19,25901.16,24817.39,24443.81,23376.38,24483.4,25681.56,23529.03,28412.68,22144.17,22643.58,24536.67,17672.03,25628.12,25372.14,27075.77,14338.64,26464.13,21959.8,23300.88,22350.86,21124.56,21313.43,22545.34,23328.47,19738.66,22569.33,27962.41,24300.27,19255.08,21164.35,23151.43,21231.73,19623.4,20866.15,20947.2,22598.02,21945.69,21613.41,23718.41,29299.53,22206.9,22868.58,18376.73,20332.25,21430.77,18579.39,19766.99,18218.45,16074.07,18001.02,16659.98,14850.92,14842.84,10060.35,16974.32,15610.81,14899.81,15137.56,16205.78,18234.09,18690.44,13827.35,14440.67,10315.67,15981.83,16276.64,15491.27,10490.75,9192.35,14130.34,7211083.78
8,302558.68,200745.96,232068.08,280258.25,289673.34,330155.3,286378.44,357859.48,279173.61,249903.23,389854.16,367188,360229.87,320614.94,334407.03,367772.08,387689.93,284084.56,325464.32,320271.88,403006.67,301521.46,346293.6,363670.51,345636.01,368636.13,277587.1,373829.52,355659.05,353473.12,314715.52,301067.18,345346.1,351757.6,316621.4,266589.7,316596.83,351826.06,319275.02,348031.07,346005.98,392414,350745.59,339648.58,357671,371222.39,364299.51,295700.04,476495.99,413302.81,397631.48,285620.12,413486.46,299198.5,328855.03,358096.02,349680.18,365315.76,370247.84,366161.11,353751.28,351484.69,392861.11,357385.2,371501.58,365519.74,342265.09,361613.34,377099.64,381137.48,373006.67,419436.18,380594.1,345070.8,377766.11,481621.23,393632.78,362446.67,320982.51,361572.96,378016.38,366639.03,370174.24,356778.04,368599.21,379238.08,358859.94,310933.45,383086.24,404986.44,358592.31,423787.26,385029.68,507698.57,343506.13,363559.13,376198.15,377540.41,380875.87,288964.2,425409.12,384169.75,381994.21,236687.79,182495.05,348080.14,334977.46,305316.37,335658.49,367595,425608.87,364016.29,461850.88,358380.5,361580.37,361240.14,397734.57,298222.11,326120.06,409334.7,409901.11,377833.34,363383.94,396808.4,380547.88,350576.11,337167.73,413895.26,420794.23,344107.65,292824.9,346032.29,285697.78,320932.02,335377.25,305549.94,322062.24,317525.95,286815.22,294898.62,289047.33,339482.69,287588.76,325198.51,304060.55,321803.9,317293.23,310561.74,304858.96,302130.82,355987.06,242964.95,358655.91,321114.47,340697.52,298292.01,254868.2,232056.94,272684.62,255977.85,237431.46,241912.88,315804.98,269077.9,283544.18,284210.19,307414.73,312034.09,270901.98,289499.05,302093.04,279307.74,273590.87,317097.99,285457.91,328753.9,309041.54,305691.32,275688.18,334248.54,340901.83,295965.31,263840.11,257165.67,316120.08,304160.98,282756.03,260631.11,278726.98,274442.61,253244.44,238607.98,214794.39,164403.04,268126.71,244833.9,242479.19,248371.48,259278.18,258347.97,257710.4,250370.3,241562.72,173056.54,270060.19,261837.44,274885.55,188976.61,161084.32,137225.72,68494401.1
